player,pos,age,team_id,g,mp,pts,trb,ast,fg_pct,fg3_pct,efg_pct,stl,blk,tov
Lauri Markkanen,PF,26,UTA,55,33.1,23.2,8.2,2.0,.480,.399,.578,0.9,0.5,1.4
Jaylen Brown,SF,27,BOS,70,33.5,23.0,5.5,3.6,.499,.354,.557,1.2,0.5,2.4
Zion Williamson,PF,23,NOP,70,31.5,22.9,5.8,5.0,.570,.333,.573,1.1,0.7,2.8
Cade Cunningham,PG,22,DET,62,33.5,22.7,4.3,7.5,.449,.355,.500,0.9,0.4,3.4
Paolo Banchero,PF,21,ORL,80,35.0,22.6,6.9,5.4,.455,.339,.497,0.9,0.6,3.1
Paul George,PF,33,LAC,74,33.8,22.6,5.2,3.5,.471,.413,.569,1.5,0.5,2.1
Anfernee Simons,SG,24,POR,46,34.4,22.6,3.6,5.5,.430,.385,.523,0.5,0.1,2.7
Jaren Jackson Jr.,C,24,MEM,66,32.2,22.5,5.5,2.3,.444,.320,.494,1.2,1.6,2.4
Dejounte Murray,SG,27,ATL,78,35.7,22.5,5.3,6.4,.459,.363,.528,1.4,0.3,2.6
Cam Thomas,SG,22,BRK,66,31.4,22.5,3.2,2.9,.442,.364,.503,0.7,0.2,1.9
Kyle Kuzma,PF,28,WAS,70,32.6,22.2,6.6,4.2,.463,.336,.521,0.5,0.7,2.7
Karl-Anthony Towns,PF,28,MIN,62,32.7,21.8,8.3,3.0,.504,.416,.575,0.7,0.7,2.9
Pascal Siakam,PF,29,2TM,80,33.2,21.7,7.1,4.3,.536,.346,.569,0.8,0.3,1.8
Pascal Siakam,PF,29,TOR,39,34.7,22.2,6.3,4.9,.522,.317,.559,0.8,0.3,2.1
Pascal Siakam,PF,29,IND,41,31.8,21.3,7.8,3.7,.549,.386,.579,0.8,0.4,1.4
Victor Wembanyama,C,20,SAS,71,29.7,21.4,10.6,3.9,.465,.325,.519,1.2,3.6,3.7
Jamal Murray,PG,26,DEN,59,31.5,21.2,4.1,6.5,.481,.425,.554,1.0,0.7,2.1
Alperen Şengün,C,21,HOU,63,32.5,21.1,9.3,5.0,.537,.297,.553,1.2,0.7,2.6
Miles Bridges,SF,25,CHO,69,37.4,21.0,7.3,3.3,.462,.349,.527,0.9,0.5,2.0
Jerami Grant,PF,29,POR,54,33.9,21.0,3.5,2.8,.451,.402,.516,0.8,0.6,2.1
Jimmy Butler,PF,34,MIA,60,34.0,20.8,5.3,5.0,.499,.414,.537,1.3,0.3,1.7
Tyler Herro,SG,24,MIA,42,33.5,20.8,5.3,4.5,.441,.396,.531,0.7,0.1,2.2
Brandon Ingram,SF,26,NOP,64,32.9,20.8,5.1,5.7,.492,.355,.534,0.8,0.6,2.5
RJ Barrett,SG,23,2TM,58,31.7,20.2,5.4,3.3,.495,.360,.547,0.5,0.4,2.2
RJ Barrett,SG,23,NYK,26,29.5,18.2,4.3,2.4,.423,.331,.478,0.5,0.3,1.8
RJ Barrett,SG,23,TOR,32,33.5,21.8,6.4,4.1,.553,.392,.601,0.6,0.4,2.5
Tyrese Haliburton,PG,23,IND,69,32.2,20.1,3.9,10.9,.477,.364,.570,1.2,0.7,2.3
Kristaps Porziņģis,C,28,BOS,57,29.6,20.1,7.2,2.0,.516,.375,.589,0.7,1.9,1.6
CJ McCollum,PG,32,NOP,66,32.7,20.0,4.3,4.6,.459,.429,.572,0.9,0.6,1.7
Scottie Barnes,SG,22,TOR,60,34.9,19.9,8.2,6.1,.475,.341,.528,1.3,1.5,2.8
Terry Rozier,SG,29,2TM,61,33.4,19.8,4.0,5.6,.443,.363,.518,1.0,0.3,1.7
Terry Rozier,SG,29,CHO,30,35.5,23.2,3.9,6.6,.459,.358,.535,1.1,0.4,2.2
Terry Rozier,PG,29,MIA,31,31.5,16.4,4.2,4.6,.423,.371,.497,1.0,0.3,1.3
Franz Wagner,SF,22,ORL,72,32.5,19.7,5.3,3.7,.482,.281,.525,1.1,0.4,1.9
